Governorate,Facility_Type,Administration,Facility_Name,Facility_Type_EN,Administration_EN,Facility_Name_EN
Aswan,مركز,إدارة اسوان,ابو الريش بحري,Markaz,Idaret_Aswan,Abu_ElReesh_Bahri
Aswan,مركز,إدارة كوم امبو,اقليت,Markaz,Idaret_Kom_Ombo,Eqleet
Aswan,مركز,ادارة ادفو غرب,البصيلية بحرى,Markaz,Idaret_Edfu_Gharb,ElBaseeliya_Bahri
Aswan,مركز,ادارة دراو,الحضرى دراو,Markaz,Idaret_Daraw,ElHadry_Daraw
Aswan,مركز,ادارة نصر النوبة,الدكه,Markaz,Idaret_Nasr_ElNoba,ElDaka
Aswan,مركز,إدارة اسوان,السيل,Markaz,Idaret_Aswan,ElSeil
Aswan,مركز,ادارة ادفو غرب,الصعايده قبلي,Markaz,Idaret_Edfu_Gharb,ElSaaida_Qebli
Aswan,مركز,ادارة ادفو شرق,المحاميد,Markaz,Idaret_Edfu_Shark,ElMahameed
Aswan,مركز,إدارة كوم امبو,المنشية الجديدة,Markaz,Idaret_Kom_Ombo,ElMenshia_ElGedida
Aswan,مركز,ادارة نصر النوبة,بلانه,Markaz,Idaret_Nasr_ElNoba,Belana
Aswan,مركز,ادارة دراو,بنبان قبلى,Markaz,Idaret_Daraw,Benban_Qebly
Aswan,مركز,ادارة ادفو غرب,حاجر البصيلية,Markaz,Idaret_Edfu_Gharb,Hager_ElBaseeliya
Aswan,مركز,ادارة ادفو غرب,رعاية طفل ادفو,Markaz,Idaret_Edfu_Gharb,Reaya_Tefl_Edfu
Aswan,مركز,إدارة كوم امبو,رعاية طفل كوم امبو,Markaz,Idaret_Kom_Ombo,Reaya_Tefl_Kom_Ombo
Aswan,مركز,إدارة كوم امبو,سلو بحري,Markaz,Idaret_Kom_Ombo,Sulo_Bahri
Aswan,مركز,إدارة اسوان,صحة اول,Markaz,Idaret_Aswan,Seha_Awal
Aswan,مستشفى,ادارة نصر النوبة,مستشفى ابو سمبل الدولي,Mostashfa,Idaret_Nasr_ElNoba,Mostashfa_Abu_Simbel_ElDawly
Aswan,مستشفى,ادارة ادفو غرب,مستشفى ادفو العام,Mostashfa,Idaret_Edfu_Gharb,Mostashfa_Edfu_ElAam
Aswan,مستشفى,إدارة اسوان,مستشفى اسوان التخصصي,Mostashfa,Idaret_Aswan,Mostashfa_Aswan_ElTakhassosi
Aswan,مستشفى,إدارة اسوان,مستشفى التامين الصحي,Mostashfa,Idaret_Aswan,Mostashfa_Eltamyn_ElSehy
Aswan,مستشفى,ادارة ادفو غرب,مستشفى السباعيه,Mostashfa,Idaret_Edfu_Gharb,Mostashfa_ElSabaeyah
Aswan,مستشفى,إدارة اسوان,مستشفى حميات اسوان,Mostashfa,Idaret_Aswan,Mostashfa_Hamiyat_Aswan
Aswan,مستشفى,ادارة دراو,مستشفى دراو المركزي,Mostashfa,Idaret_Daraw,Mostashfa_Daraw_ElMarkazi
Aswan,مستشفى,إدارة اسوان,مستشفى رمد اسوان,Mostashfa,Idaret_Aswan,Mostashfa_Ramd_Aswan
Aswan,مستشفى,إدارة كوم امبو,مستشفى كوم امبو المركزي,Mostashfa,Idaret_Kom_Ombo,Mostashfa_Kom_Ombo_ElMarkazi
Aswan,مستشفى,ادارة نصر النوبة,مستشفى نصر النوبه,Mostashfa,Idaret_Nasr_ElNoba,Mostashfa_Nasr_ElNoba
Aswan,مستشفى,إدارة اسوان,معهد اورام اسوان,Mostashfa,Idaret_Aswan,Maahad_Awram_Aswan
Aswan,وحدة,ادارة نصر النوبة,ابريم,Wehda,Idaret_Nasr_ElNoba,Abreem
Aswan,وحدة,إدارة اسوان,ابو الريش قبلي,Wehda,Idaret_Aswan,Abu_ElReesh_Qebli
Aswan,وحدة,ادارة نصر النوبة,ابو سمبل,Wehda,Idaret_Nasr_ElNoba,Abu_Simbel
Aswan,وحدة,إدارة اسوان,ابوسمبل,Wehda,Idaret_Aswan,AbuSimbel
Aswan,وحدة,ادارة نصر النوبة,ادندان,Wehda,Idaret_Nasr_ElNoba,Adandan
Aswan,وحدة,إدارة اسوان,اسوان الجديدة,Wehda,Idaret_Aswan,Aswan_ElGedida
Aswan,وحدة,ادارة ادفو غرب,الاخصاص,Wehda,Idaret_Edfu_Gharb,ElAkhsas
Aswan,وحدة,إدارة كوم امبو,الاسماعيلية,Wehda,Idaret_Kom_Ombo,ElIsmailia
Aswan,وحدة,إدارة اسوان,الاعقاب الديسة,Wehda,Idaret_Aswan,ElAaqab_ElDeisa
Aswan,وحدة,ادارة ادفو غرب,البصيلية قبلى,Wehda,Idaret_Edfu_Gharb,ElBaseeliya_Qebly
Aswan,وحدة,إدارة كوم امبو,البياره,Wehda,Idaret_Kom_Ombo,ElBayara
Aswan,وحدة,إدارة اسوان,الجزيرة,Wehda,Idaret_Aswan,ElGezira
Aswan,وحدة,ادارة دراو,الجعافرة,Wehda,Idaret_Daraw,ElGaafara
Aswan,وحدة,ادارة دراو,الحربياب,Wehda,Idaret_Daraw,ElHarbiab
Aswan,وحدة,ادارة نصر النوبة,الحضري نصر النوبة,Wehda,Idaret_Nasr_ElNoba,ElHadry_Nasr_ElNoba
Aswan,وحدة,ادارة نصر النوبة,الحكمه,Wehda,Idaret_Nasr_ElNoba,ElHekma
Aswan,وحدة,إدارة اسوان,الخزان غرب,Wehda,Idaret_Aswan,ElKhazan_Gharb
Aswan,وحدة,إدارة كوم امبو,الخور قبلي,Wehda,Idaret_Kom_Ombo,ElKhour_Qebli
Aswan,وحدة,ادارة نصر النوبة,الدر و تنقالة,Wehda,Idaret_Nasr_ElNoba,ElDar_Wa_Tanqala
Aswan,وحدة,ادارة ادفو شرق,الدقاديق,Wehda,Idaret_Edfu_Shark,ElDaqadaq
Aswan,وحدة,ادارة ادفو شرق,الرديسية,Wehda,Idaret_Edfu_Shark,Elrdysya
Aswan,وحدة,ادارة دراو,الرقبه,Wehda,Idaret_Daraw,ElRaqaba
Aswan,وحدة,ادارة ادفو غرب,الرقيقيين,Wehda,Idaret_Edfu_Gharb,ElRaqiqeen
Aswan,وحدة,ادارة ادفو غرب,الرمادي بحري,Wehda,Idaret_Edfu_Gharb,Elrmady_Bahri
Aswan,وحدة,ادارة ادفو غرب,الرمادي قبلي,Wehda,Idaret_Edfu_Gharb,Elrmady_Qebli
Aswan,وحدة,ادارة ادفو غرب,السباعية,Wehda,Idaret_Edfu_Gharb,ElSabaeyah
Aswan,وحدة,إدارة اسوان,السد العالى,Wehda,Idaret_Aswan,ElSadd_ElAaly
Aswan,وحدة,إدارة كوم امبو,السلسلة,Wehda,Idaret_Kom_Ombo,ElSelsela
Aswan,وحدة,ادارة ادفو شرق,الشراونة قبلي,Wehda,Idaret_Edfu_Shark,Elshrawna_Qebli
Aswan,وحدة,ادارة ادفو غرب,الشرفا,Wehda,Idaret_Edfu_Gharb,ElSharfa
Aswan,وحدة,ادارة دراو,الشطب,Wehda,Idaret_Daraw,ElShatb
Aswan,وحدة,إدارة اسوان,الشلال,Wehda,Idaret_Aswan,ElShalal
Aswan,وحدة,ادارة ادفو غرب,الشهامة,Wehda,Idaret_Edfu_Gharb,ElShahama
Aswan,وحدة,ادارة دراو,الشيخ ابراهيم,Wehda,Idaret_Daraw,ElSheikh_Ibrahim
Aswan,وحدة,ادارة ادفو شرق,الشيخ على,Wehda,Idaret_Edfu_Shark,ElSheikh_Ala
Aswan,وحدة,ادارة ادفو شرق,الشيخ مصطفي,Wehda,Idaret_Edfu_Shark,ElSheikh_Mostafa
Aswan,وحدة,إدارة اسوان,الصداقة الجديدة,Wehda,Idaret_Aswan,ElSadaqa_ElGedida
Aswan,وحدة,ادارة ادفو شرق,الطوناب,Wehda,Idaret_Edfu_Shark,ElTounab
Aswan,وحدة,إدارة كوم امبو,العباسية,Wehda,Idaret_Kom_Ombo,ElAbasiya
Aswan,وحدة,إدارة كوم امبو,العتم ور قبلى,Wehda,Idaret_Kom_Ombo,ElAtam_Wa_Qebly
Aswan,وحدة,إدارة كوم امبو,العتمور المستجد,Wehda,Idaret_Kom_Ombo,ElAtamur_ElMostaged
Aswan,وحدة,إدارة كوم امبو,العدوه,Wehda,Idaret_Kom_Ombo,ElAdawa
Aswan,وحدة,ادارة ادفو شرق,العطواني,Wehda,Idaret_Edfu_Shark,ElAtawany
Aswan,وحدة,ادارة ادفو غرب,العكارمية,Wehda,Idaret_Edfu_Gharb,ElAkarmia
Aswan,وحدة,إدارة اسوان,العلاقي,Wehda,Idaret_Aswan,ElAlaqi
Aswan,وحدة,ادارة نصر النوبة,العلاقي,Wehda,Idaret_Nasr_ElNoba,ElAlaqi
Aswan,وحدة,إدارة كوم امبو,العليقات,Wehda,Idaret_Kom_Ombo,ElOlaiqat
Aswan,وحدة,ادارة ادفو غرب,العوضلاب,Wehda,Idaret_Edfu_Gharb,ElAwdlab
Aswan,وحدة,ادارة ادفو شرق,العوينية,Wehda,Idaret_Edfu_Shark,ElOwainiya
Aswan,وحدة,ادارة ادفو غرب,الغنيمية,Wehda,Idaret_Edfu_Gharb,ElGhonaymia
Aswan,وحدة,ادارة ادفو غرب,الغوالية,Wehda,Idaret_Edfu_Gharb,ElGhowaliya
Aswan,وحدة,إدارة كوم امبو,الفوزة,Wehda,Idaret_Kom_Ombo,ElFouza
Aswan,وحدة,ادارة دراو,القفطيه,Wehda,Idaret_Daraw,ElQaeftia
Aswan,وحدة,إدارة كوم امبو,الكاجوج,Wehda,Idaret_Kom_Ombo,ElKagoug
Aswan,وحدة,ادارة نصر النوبة,الكرامة,Wehda,Idaret_Nasr_ElNoba,ElKarama
Aswan,وحدة,إدارة اسوان,الكرور,Wehda,Idaret_Aswan,ElKaror
Aswan,وحدة,إدارة كوم امبو,الكفور,Wehda,Idaret_Kom_Ombo,ElKofour
Aswan,وحدة,ادارة ادفو غرب,الكلح غرب,Wehda,Idaret_Edfu_Gharb,ElKalah_Gharb
Aswan,وحدة,إدارة اسوان,الكوبانية,Wehda,Idaret_Aswan,ElKobaniya
Aswan,وحدة,ادارة نصر النوبة,المالكي,Wehda,Idaret_Nasr_ElNoba,ElMaleki
Aswan,وحدة,إدارة اسوان,المحمودية,Wehda,Idaret_Aswan,ElMahmoudiya
Aswan,وحدة,ادارة ادفو غرب,المريناب,Wehda,Idaret_Edfu_Gharb,ElMarinab
Aswan,وحدة,ادارة ادفو شرق,المفالسة,Wehda,Idaret_Edfu_Shark,ElMafalesa
Aswan,وحدة,ادارة دراو,المنصورية بحرى,Wehda,Idaret_Daraw,Elmnswrya_Bahri
Aswan,وحدة,ادارة ادفو شرق,النزل,Wehda,Idaret_Edfu_Shark,Elnzl
Aswan,وحدة,ادارة ادفو غرب,الوقاداب,Wehda,Idaret_Edfu_Gharb,ElWaqadab
Aswan,وحدة,ادارة نصر النوبة,توشكى غرب,Wehda,Idaret_Nasr_ElNoba,Toshky_Gharb
Aswan,وحدة,إدارة اسوان,جزيرة اسوان,Wehda,Idaret_Aswan,Gezira_Aswan
Aswan,وحدة,إدارة اسوان,جزيرة سهيل,Wehda,Idaret_Aswan,Gezira_Shyl
Aswan,وحدة,إدارة كوم امبو,جعفر الصادق,Wehda,Idaret_Kom_Ombo,Gaafar_ElSadeq
Aswan,وحدة,ادارة ادفو غرب,حاجر ابو خليفة,Wehda,Idaret_Edfu_Gharb,Hager_Abu_Khalifa
Aswan,وحدة,ادارة ادفو غرب,حاجر البلاليص,Wehda,Idaret_Edfu_Gharb,Hager_ElBalelees
Aswan,وحدة,إدارة كوم امبو,حجازه,Wehda,Idaret_Kom_Ombo,Hegaza
Aswan,وحدة,ادارة نصر النوبة,خريت 1,Wehda,Idaret_Nasr_ElNoba,Khreet_1
Aswan,وحدة,إدارة اسوان,خورعواضة الجديدة,Wehda,Idaret_Aswan,Khwr3wada_ElGedida
Aswan,وحدة,ادارة نصر النوبة,دابود,Wehda,Idaret_Nasr_ElNoba,Daboud
Aswan,وحدة,إدارة كوم امبو,سلوا قبلى,Wehda,Idaret_Kom_Ombo,Slwa_Qebly
Aswan,وحدة,إدارة كوم امبو,عرب كيما,Wehda,Idaret_Kom_Ombo,Arab_Keema
Aswan,وحدة,إدارة كوم امبو,عزبة العرب,Wehda,Idaret_Kom_Ombo,Ozba_ElArab
Aswan,وحدة,ادارة ادفو غرب,عمرو بن العاص,Wehda,Idaret_Edfu_Gharb,Amr_Ibn_ElAas
